,start,end,activity
5452,1387555680,1387555980,inactive
5453,1387554420,1387555680,light_activity
5454,1387552980,1387554420,inactive
5455,1387525860,1387552980,sleep
5456,1387692240,1387715400,sleep
5457,1387692060,1387692240,inactive
5458,1387691880,1387692060,light_activity
5459,1387689660,1387691880,inactive
5460,1387689300,1387689660,light_activity
5461,1387688760,1387689300,inactive
5462,1387688400,1387688760,light_activity
5463,1387687740,1387688400,inactive
5464,1387687680,1387687740,light_activity
5465,1387687440,1387687680,inactive
5466,1387687380,1387687440,light_activity
5467,1387682220,1387687380,inactive
5468,1387681860,1387682220,light_activity
5469,1387681560,1387681860,inactive
5470,1387681380,1387681560,light_activity
5471,1387678800,1387681380,inactive
5472,1387678560,1387678800,light_activity
5473,1387677840,1387678560,moderate_activity
5474,1387677780,1387677840,light_activity
5475,1387677480,1387677780,inactive
5476,1387676580,1387677480,light_activity
5477,1387675920,1387676580,moderate_activity
5478,1387675200,1387675920,off_wrist
5479,1387674240,1387675200,inactive
5480,1387674180,1387674240,light_activity
5481,1387673760,1387674180,inactive
5482,1387673640,1387673760,light_activity
5483,1387673400,1387673640,inactive
5484,1387669080,1387673400,moderate_activity
5485,1387668660,1387669080,light_activity
5486,1387668480,1387668660,inactive
5487,1387667520,1387668480,light_activity
5488,1387666800,1387667520,inactive
5489,1387665600,1387666800,light_activity
5490,1387663500,1387665600,inactive
5491,1387663320,1387663500,light_activity
5492,1387662660,1387663320,inactive
5493,1387661880,1387662660,light_activity
5494,1387660740,1387661880,inactive
5495,1387660680,1387660740,light_activity
5496,1387660380,1387660680,inactive
5497,1387660200,1387660380,light_activity
5498,1387659780,1387660200,inactive
5499,1387659720,1387659780,light_activity
5500,1387659060,1387659720,inactive
5501,1387659000,1387659060,light_activity
5502,1387658340,1387659000,inactive
5503,1387658040,1387658340,light_activity
5504,1387657860,1387658040,inactive
5505,1387657440,1387657860,light_activity
5506,1387656900,1387657440,inactive
5507,1387656840,1387656900,light_activity
5508,1387652940,1387656840,inactive
5509,1387652760,1387652940,light_activity
5510,1387652460,1387652760,inactive
5511,1387651500,1387652460,light_activity
5512,1387650480,1387651500,inactive
5513,1387650180,1387650480,light_activity
5514,1387650000,1387650180,inactive
5515,1387649820,1387650000,light_activity
5516,1387649220,1387649820,inactive
5517,1387648800,1387649220,light_activity
5518,1387648080,1387648800,inactive
5519,1387647900,1387648080,light_activity
5520,1387647540,1387647900,inactive
5521,1387644900,1387647540,light_activity
5522,1387618740,1387644900,sleep
5523,1387618620,1387618740,light_activity
5524,1387618380,1387618620,inactive
5525,1387618020,1387618380,light_activity
5526,1387617000,1387618020,moderate_activity
5527,1387616820,1387617000,light_activity
5528,1387616640,1387616820,inactive
5529,1387616400,1387616640,light_activity
5530,1387613340,1387616400,inactive
5531,1387613220,1387613340,light_activity
5532,1387612920,1387613220,inactive
5533,1387612320,1387612920,light_activity
5534,1387785540,1387786440,light_activity
5535,1387783020,1387785540,inactive
5536,1387782300,1387783020,moderate_activity
5537,1387781760,1387782300,light_activity
5538,1387780140,1387781760,inactive
5539,1387780080,1387780140,light_activity
5540,1387779420,1387780080,inactive
5541,1387779360,1387779420,light_activity
5542,1387778460,1387779360,inactive
5543,1387778400,1387778460,light_activity
5544,1387778220,1387778400,inactive
5545,1387778040,1387778220,light_activity
5546,1387777740,1387778040,inactive
5547,1387777620,1387777740,light_activity
5548,1387777440,1387777620,inactive
5549,1387777380,1387777440,light_activity
5550,1387777080,1387777380,inactive
5551,1387776660,1387777080,light_activity
5552,1387776420,1387776660,inactive
5553,1387776120,1387776420,light_activity
5554,1387775820,1387776120,inactive
5555,1387775700,1387775820,light_activity
5556,1387774500,1387775700,inactive
5557,1387774260,1387774500,light_activity
5558,1387773120,1387774260,inactive
5559,1387773060,1387773120,light_activity
5560,1387772760,1387773060,inactive
5561,1387772220,1387772760,light_activity
5562,1387771080,1387772220,moderate_activity
5563,1387770360,1387771080,light_activity
5564,1387770180,1387770360,inactive
5565,1387769760,1387770180,light_activity
5566,1387769400,1387769760,inactive
5567,1387769280,1387769400,light_activity
5568,1387768920,1387769280,inactive
5569,1387768800,1387768920,light_activity
5570,1387768620,1387768800,inactive
5571,1387767600,1387768620,light_activity
5572,1387765680,1387767600,inactive
5573,1387765620,1387765680,light_activity
5574,1387765380,1387765620,inactive
5575,1387765320,1387765380,light_activity
5576,1387764360,1387765320,inactive
5577,1387764300,1387764360,light_activity
5578,1387763880,1387764300,inactive
5579,1387762320,1387763880,light_activity
5580,1387761240,1387762320,moderate_activity
5581,1387760520,1387761240,off_wrist
5582,1387760460,1387760520,light_activity
5583,1387759980,1387760460,inactive
5584,1387759860,1387759980,light_activity
5585,1387758300,1387759860,inactive
5586,1387758180,1387758300,light_activity
5587,1387756560,1387758180,inactive
5588,1387756500,1387756560,light_activity
5589,1387754220,1387756500,inactive
5590,1387754100,1387754220,light_activity
5591,1387749780,1387754100,inactive
5592,1387748580,1387749780,light_activity
5593,1387747380,1387748580,inactive
5594,1387746840,1387747380,light_activity
5595,1387746180,1387746840,inactive
5596,1387745940,1387746180,light_activity
5597,1387745280,1387745940,inactive
5598,1387745040,1387745280,light_activity
5599,1387744680,1387745040,inactive
5600,1387744620,1387744680,light_activity
5601,1387744140,1387744620,inactive
5602,1387743900,1387744140,light_activity
5603,1387743720,1387743900,inactive
5604,1387743600,1387743720,light_activity
5605,1387742340,1387743600,inactive
5606,1387742280,1387742340,light_activity
5607,1387740960,1387742280,inactive
5608,1387740780,1387740960,light_activity
5609,1387740120,1387740780,inactive
5610,1387740060,1387740120,light_activity
5611,1387739400,1387740060,inactive
5612,1387739280,1387739400,light_activity
5613,1387738920,1387739280,inactive
5614,1387738440,1387738920,light_activity
5615,1387737660,1387738440,inactive
5616,1387737600,1387737660,light_activity
5617,1387735560,1387737600,inactive
5618,1387735500,1387735560,light_activity
